commit_sha,strategy,tests_available,tests_selected,failures_available,failures_detected,duration_available,duration_selected,abstained,escaped,failure_recall,time_reduction
mut_fb82d8a971b1,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_fbbac85b0bd0,1. Full Test Suite,365.0,365.0,0.0,0.0,4.793700000000005,4.793700000000021,0.0,0.0,,-3.268496584496461e-13
mut_fc0de64fdbc8,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_fc46fb835319,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_fc5453ad45d2,1. Full Test Suite,507.0,507.0,1.0,1.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_fcb8db64c2f7,1. Full Test Suite,349.0,349.0,3.0,3.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_fd6d192d4ae0,1. Full Test Suite,349.0,349.0,7.0,7.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_fd93fa7458fb,1. Full Test Suite,365.0,365.0,12.0,12.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_fdb18ceaea36,1. Full Test Suite,365.0,365.0,18.0,18.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_fdb31bfe1c24,1. Full Test Suite,507.0,507.0,6.0,6.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_fde4d99d3e85,1. Full Test Suite,507.0,507.0,5.0,5.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_fe1b183af319,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
